2026-07-23 15:29:05,652 | INFO | SQLite Connected
2026-07-23 15:29:05,663 | INFO | Application Started
2026-07-23 15:32:17,586 | INFO | SQLite Connected
2026-07-23 15:32:17,587 | INFO | Application Started
2026-07-23 15:39:21,766 | INFO | SQLite Connected
2026-07-23 15:39:21,767 | INFO | Application Started
2026-07-23 15:41:12,764 | INFO | SQLite Connected
2026-07-23 15:41:12,765 | INFO | Application Started
2026-07-23 15:46:07,207 | INFO | SQLite Closed
2026-07-23 15:46:07,212 | INFO | Application Closed
2026-07-23 15:46:15,193 | INFO | SQLite Connected
2026-07-23 15:46:15,194 | INFO | Application Started
2026-07-23 15:46:42,631 | INFO | SQLite Connected
2026-07-23 15:46:42,632 | INFO | Application Started
2026-07-23 15:52:45,781 | INFO | SQLite Connected
2026-07-23 15:52:45,792 | INFO | Application Started
2026-07-23 15:53:10,109 | INFO | SQLite Closed
2026-07-23 15:53:10,110 | INFO | Application Closed
2026-07-23 15:56:06,147 | INFO | SQLite Connected
2026-07-23 15:56:06,150 | INFO | Application Started
2026-07-23 15:56:17,321 | INFO | SQLite Closed
2026-07-23 15:56:17,323 | INFO | Application Closed
2026-07-23 15:57:21,330 | INFO | SQLite Connected
2026-07-23 15:57:21,334 | INFO | Application Started
2026-07-23 15:57:35,597 | INFO | SQLite Closed
2026-07-23 15:57:35,598 | INFO | Application Closed
2026-07-23 16:00:27,328 | INFO | Device : MGR02
2026-07-23 16:00:27,343 | INFO | SQLite Connected
2026-07-23 16:00:27,467 | INFO | Database Ready
2026-07-23 16:00:27,492 | INFO | KV Loaded
2026-07-23 16:03:10,683 | INFO | SQLite Closed
2026-07-23 16:03:10,690 | INFO | Application Closed
2026-07-23 16:03:21,629 | INFO | Device : MGR02
2026-07-23 16:03:21,655 | INFO | SQLite Connected
2026-07-23 16:03:21,678 | INFO | Database Ready
2026-07-23 16:05:28,139 | INFO | Device : MGR02
2026-07-23 16:05:28,155 | INFO | SQLite Connected
2026-07-23 16:05:28,188 | INFO | Database Ready
2026-07-23 16:05:28,207 | INFO | KV Loaded
2026-07-23 16:08:05,268 | INFO | Device : MGR02
2026-07-23 16:08:05,284 | INFO | SQLite Connected
2026-07-23 16:08:05,303 | INFO | Database Ready
2026-07-23 16:08:05,330 | INFO | KV Loaded
2026-07-23 16:08:55,647 | INFO | Device : MGR02
2026-07-23 16:08:55,671 | INFO | SQLite Connected
2026-07-23 16:08:55,700 | INFO | Database Ready
2026-07-23 16:08:55,725 | INFO | KV Loaded
2026-07-25 11:51:27,857 | INFO | Device : MGR02
2026-07-25 11:51:27,868 | INFO | SQLite Connected
2026-07-25 11:51:27,881 | INFO | Database Ready
2026-07-25 11:51:27,964 | INFO | KV Loaded
2026-07-25 15:24:17,043 | INFO | Device : MGR02
2026-07-25 15:24:17,054 | INFO | SQLite Connected
2026-07-25 15:24:17,068 | INFO | Database Ready
2026-07-25 15:24:17,086 | INFO | KV Loaded
2026-07-25 15:24:40,273 | INFO | SQLite Closed
2026-07-25 15:24:40,273 | INFO | Application Closed
2026-07-25 15:28:41,162 | INFO | Device : MGR02
2026-07-25 15:28:41,174 | INFO | SQLite Connected
2026-07-25 15:28:41,191 | INFO | Database Ready
2026-07-25 15:28:41,221 | INFO | KV Loaded
2026-07-25 15:28:49,605 | INFO | SQLite Closed
2026-07-25 15:28:49,605 | INFO | Application Closed
2026-07-25 15:29:56,708 | INFO | Device : MGR02
2026-07-25 15:29:56,709 | INFO | SQLite Connected
2026-07-25 15:29:56,710 | INFO | Database Ready
2026-07-25 15:29:56,719 | INFO | KV Loaded
2026-07-25 15:30:05,307 | INFO | SQLite Closed
2026-07-25 15:30:05,308 | INFO | Application Closed
2026-07-25 15:32:02,722 | INFO | Device : MGR02
2026-07-25 15:32:02,733 | INFO | SQLite Connected
2026-07-25 15:32:02,747 | INFO | Database Ready
2026-07-25 15:32:02,761 | INFO | KV Loaded
2026-07-25 15:32:15,110 | INFO | SQLite Closed
2026-07-25 15:32:15,111 | INFO | Application Closed
2026-07-25 15:40:11,531 | INFO | Device : MGR02
2026-07-25 15:40:11,540 | INFO | SQLite Connected
2026-07-25 15:40:11,553 | INFO | Database Ready
2026-07-25 15:40:11,567 | INFO | KV Loaded
2026-07-25 15:43:11,917 | INFO | SQLite Closed
2026-07-25 15:43:11,918 | INFO | Application Closed
2026-07-25 15:43:17,207 | INFO | Device : MGR02
2026-07-25 15:43:17,208 | INFO | SQLite Connected
2026-07-25 15:43:17,210 | INFO | Database Ready
2026-07-25 15:43:17,221 | INFO | KV Loaded
2026-07-25 15:43:53,566 | INFO | Device : MGR02
2026-07-25 15:43:53,575 | INFO | SQLite Connected
2026-07-25 15:43:53,582 | INFO | Database Ready
2026-07-25 15:43:53,597 | INFO | KV Loaded
2026-07-25 16:06:32,739 | INFO | SQLite Closed
2026-07-25 16:06:32,739 | INFO | Application Closed
2026-07-25 16:17:18,463 | INFO | Device : MGR02
2026-07-25 16:17:18,466 | INFO | SQLite Connected
2026-07-25 16:17:18,468 | INFO | Database Ready
2026-07-25 16:17:18,506 | INFO | KV Loaded
2026-07-25 16:17:21,897 | INFO | SQLite Closed
2026-07-25 16:17:21,898 | INFO | Application Closed
2026-07-26 07:11:53,047 | INFO | Device : MGR02
2026-07-26 07:11:53,061 | INFO | SQLite Connected
2026-07-26 07:11:53,078 | INFO | Database Ready
2026-07-26 07:11:53,100 | INFO | KV Loaded
2026-07-26 07:12:26,366 | INFO | SQLite Closed
2026-07-26 07:12:26,367 | INFO | Application Closed
2026-07-26 07:27:17,132 | INFO | Device : MGR02
2026-07-26 07:27:17,143 | INFO | SQLite Connected
2026-07-26 07:27:17,158 | INFO | Database Ready
2026-07-26 07:27:17,174 | INFO | KV Loaded
2026-07-26 07:27:30,103 | INFO | SQLite Closed
2026-07-26 07:27:30,104 | INFO | Application Closed
2026-07-26 07:28:40,921 | INFO | Device : MGR02
2026-07-26 07:28:40,922 | INFO | SQLite Connected
2026-07-26 07:28:40,923 | INFO | Database Ready
2026-07-26 07:28:40,929 | INFO | KV Loaded
2026-07-26 07:28:49,590 | INFO | SQLite Closed
